ZIP,Year,avg_fire_risk_score,avg_tmax_c,avg_tmin_c,tot_prcp_mm,log_gis_acres,fire_occurred,total_population,median_income,year_sin
90001,2018,0.16599999999999998,29.58854838709677,14.242857142857144,0.0,0.0,0,56403.0,60751.0,0.0
90001,2019,0.142,29.58854838709677,14.242857142857144,0.0,0.0,0,56403.0,60751.0,1.0
90001,2020,0.22,29.58854838709677,14.242857142857144,0.0,0.0,0,56403.0,60751.0,1.2246467991473532e-16
90001,2021,0.22666666666666666,29.58854838709677,14.242857142857144,0.0,0.0,0,56403.0,60751.0,-1.0
90002,2018,0.2075,29.58854838709677,14.242857142857144,0.0,0.0,0,52735.0,56158.0,0.0
90002,2019,0.1825,29.58854838709677,14.242857142857144,0.0,0.0,0,52735.0,56158.0,1.0
90002,2020,0.395,29.58854838709677,14.242857142857144,0.0,0.0,0,52735.0,56158.0,1.2246467991473532e-16
90002,2021,0.40166666666666667,29.58854838709677,14.242857142857144,0.0,0.0,0,52735.0,56158.0,-1.0
90003,2018,0.27999999999999997,29.58854838709677,14.242857142857144,0.0,0.0,0,71708.0,54781.0,0.0
90003,2019,0.10800000000000001,29.58854838709677,14.242857142857144,0.0,0.0,0,71708.0,54781.0,1.0
90003,2020,0.38000000000000006,29.58854838709677,14.242857142857144,0.0,0.0,0,71708.0,54781.0,1.2246467991473532e-16
90003,2021,0.385,29.58854838709677,14.242857142857144,0.0,0.0,0,71708.0,54781.0,-1.0
90004,2018,0.22000000000000003,29.58854838709677,14.242857142857144,0.0,0.0,0,58844.0,62655.0,0.0
90004,2019,0.178,29.58854838709677,14.242857142857144,0.0,0.0,0,58844.0,62655.0,1.0
90004,2020,0.27166666666666667,29.58854838709677,14.242857142857144,0.0,0.0,0,58844.0,62655.0,1.2246467991473532e-16
90004,2021,0.32333333333333336,29.58854838709677,14.242857142857144,0.0,0.0,0,58844.0,62655.0,-1.0
90005,2018,0.25,29.58854838709677,14.242857142857144,0.0,0.0,0,38747.0,52755.0,0.0
90005,2019,0.205,29.58854838709677,14.242857142857144,0.0,0.0,0,38747.0,52755.0,1.0
90005,2020,0.25333333333333335,29.58854838709677,14.242857142857144,0.0,0.0,0,38747.0,52755.0,1.2246467991473532e-16
90005,2021,0.3016666666666667,29.58854838709677,14.242857142857144,0.0,0.0,0,38747.0,52755.0,-1.0
90006,2018,0.23700000000000002,29.58854838709677,14.242857142857144,0.0,0.0,0,55192.0,49847.0,0.0
90006,2019,0.16899999999999998,29.58854838709677,14.242857142857144,0.0,0.0,0,55192.0,49847.0,1.0
90006,2020,0.245,29.58854838709677,14.242857142857144,0.0,0.0,0,55192.0,49847.0,1.2246467991473532e-16
90006,2021,0.2783333333333333,29.58854838709677,14.242857142857144,0.0,0.0,0,55192.0,49847.0,-1.0
90007,2018,0.078,29.58854838709677,14.242857142857144,0.0,0.0,0,39253.0,36032.0,0.0
90007,2019,0.05800000000000001,29.58854838709677,14.242857142857144,0.0,0.0,0,39253.0,36032.0,1.0
90007,2020,0.285,29.58854838709677,14.242857142857144,0.0,0.0,0,39253.0,36032.0,1.2246467991473532e-16
90007,2021,0.27999999999999997,29.58854838709677,14.242857142857144,0.0,0.0,0,39253.0,36032.0,-1.0
90008,2018,0.1875,29.58854838709677,14.242857142857144,0.0,0.0,0,33443.0,61822.0,0.0
90008,2019,0.16333333333333333,29.58854838709677,14.242857142857144,0.0,0.0,0,33443.0,61822.0,1.0
90008,2020,0.285,29.58854838709677,14.242857142857144,0.0,0.0,0,33443.0,61822.0,1.2246467991473532e-16
90008,2021,0.3233333333333333,29.58854838709677,14.242857142857144,0.0,0.0,0,33443.0,61822.0,-1.0
90010,2018,0.2933333333333334,29.58854838709677,14.242857142857144,0.0,0.0,0,4478.0,100901.0,0.0
90010,2019,0.20833333333333334,29.58854838709677,14.242857142857144,0.0,0.0,0,4478.0,100901.0,1.0
90010,2020,0.25,29.58854838709677,14.242857142857144,0.0,0.0,0,4478.0,100901.0,1.2246467991473532e-16
90010,2021,0.37000000000000005,29.58854838709677,14.242857142857144,0.0,0.0,0,4478.0,100901.0,-1.0
90011,2018,0.524,29.58854838709677,14.242857142857144,0.0,0.0,0,102784.0,53781.0,0.0
90011,2019,0.512,29.58854838709677,14.242857142857144,0.0,0.0,0,102784.0,53781.0,1.0
90011,2020,0.3666666666666667,29.58854838709677,14.242857142857144,0.0,0.0,0,102784.0,53781.0,1.2246467991473532e-16
90011,2021,0.34,29.58854838709677,14.242857142857144,0.0,0.0,0,102784.0,53781.0,-1.0
90012,2018,0.64,29.58854838709677,14.242857142857144,0.0,0.0,0,37463.0,67635.0,0.0
90012,2019,0.626,29.58854838709677,14.242857142857144,0.0,0.0,0,37463.0,67635.0,1.0
90012,2020,0.5533333333333333,29.58854838709677,14.242857142857144,0.0,0.0,0,37463.0,67635.0,1.2246467991473532e-16
90012,2021,0.6,29.58854838709677,14.242857142857144,0.0,0.0,0,37463.0,67635.0,-1.0
90013,2018,0.3825,29.58854838709677,14.242857142857144,0.0,0.0,0,14891.0,32848.0,0.0
90013,2019,0.31,29.58854838709677,14.242857142857144,0.0,0.0,0,14891.0,32848.0,1.0
90013,2020,0.19166666666666665,29.58854838709677,14.242857142857144,0.0,0.0,0,14891.0,32848.0,1.2246467991473532e-16
90013,2021,0.43,29.58854838709677,14.242857142857144,0.0,0.0,0,14891.0,32848.0,-1.0
90014,2018,0.24125,29.58854838709677,14.242857142857144,0.0,0.0,0,9540.0,33822.0,0.0
90014,2019,0.1825,29.58854838709677,14.242857142857144,0.0,0.0,0,9540.0,33822.0,1.0
90014,2020,0.14833333333333332,29.58854838709677,14.242857142857144,0.0,0.0,0,9540.0,33822.0,1.2246467991473532e-16
90014,2021,0.27166666666666667,29.58854838709677,14.242857142857144,0.0,0.0,0,9540.0,33822.0,-1.0
90015,2018,0.22199999999999998,29.58854838709677,14.242857142857144,0.0,0.0,0,25257.0,63211.0,0.0
90015,2019,0.192,29.58854838709677,14.242857142857144,0.0,0.0,0,25257.0,63211.0,1.0
90015,2020,0.2416666666666667,29.58854838709677,14.242857142857144,0.0,0.0,0,25257.0,63211.0,1.2246467991473532e-16
90015,2021,0.3116666666666667,29.58854838709677,14.242857142857144,0.0,0.0,0,25257.0,63211.0,-1.0
90016,2018,0.147,29.58854838709677,14.242857142857144,0.0,0.0,0,46102.0,71067.0,0.0
90016,2019,0.124,29.58854838709677,14.242857142857144,0.0,0.0,0,46102.0,71067.0,1.0
90016,2020,0.26333333333333336,29.58854838709677,14.242857142857144,0.0,0.0,0,46102.0,71067.0,1.2246467991473532e-16
90016,2021,0.2916666666666667,29.58854838709677,14.242857142857144,0.0,0.0,0,46102.0,71067.0,-1.0
90017,2018,0.209,29.58854838709677,14.242857142857144,0.0,0.0,0,28981.0,51317.0,0.0
