ZIP,Year,earned_premium,earned_exposure,cat_fire_losses,noncat_fire_losses,avg_fire_risk_score,task1a_qcrossformer_deep_task1a_deep_quantum_full2021_risk_2021,task1a_qcrossformer_deep_task1a_deep_quantum_full2021_risk_is_predicted,avg_ppc,total_population,median_income,premium_rolling_mean,year_sin,year_cos
90001,2018,2065285,5274.599999999999,0,421149,0.1659999999999999,0.24611163,1,2.33,56403.0,60751.0,0.0,0.0,1.0
90001,2019,2187887,5433.93,0,608952,0.142,0.24611163,1,1.926,56403.0,60751.0,2065285.0,1.0,6.123233995736766e-17
90001,2020,2680783,6345.0,6005,507264,0.22,0.24611163,1,,56403.0,60751.0,2126586.0,1.2246467991473532e-16,-1.0
90001,2021,2920091,6350.0,211321,199658,0.2266666666666666,0.24611163,1,,56403.0,60751.0,2311318.333333333,-1.0,-1.8369701987210294e-16
90002,2018,1960435,4541.22,17323,1150118,0.2075,0.34472904,1,1.545,52735.0,56158.0,0.0,0.0,1.0
90002,2019,2125985,4681.79,100000,157309,0.1825,0.34472904,1,1.3975,52735.0,56158.0,1960435.0,1.0,6.123233995736766e-17
90002,2020,2767262,5847.0,12945,190016,0.395,0.34472904,1,,52735.0,56158.0,2043210.0,1.2246467991473532e-16,-1.0
90002,2021,2997307,5881.0,0,562385,0.4016666666666666,0.34472904,1,,52735.0,56158.0,2284560.6666666665,-1.0,-1.8369701987210294e-16
90003,2018,2681068,5949.14,0,310001,0.2799999999999999,0.33303627,1,1.0916666666666668,71708.0,54781.0,0.0,0.0,1.0
90003,2019,2939092,6161.06,0,349070,0.108,0.33303627,1,1.052,71708.0,54781.0,2681068.0,1.0,6.123233995736766e-17
90003,2020,3807422,7548.0,7600,785133,0.38,0.33303627,1,,71708.0,54781.0,2810080.0,1.2246467991473532e-16,-1.0
90003,2021,4112042,7574.0,130969,641914,0.385,0.33303627,1,,71708.0,54781.0,3142527.333333333,-1.0,-1.8369701987210294e-16
90004,2018,3613045,3008.74,0,36517,0.22,0.27812415,1,1.059,58844.0,62655.0,0.0,0.0,1.0
90004,2019,3996390,3294.22,0,359063,0.178,0.27812415,1,1.049,58844.0,62655.0,3613045.0,1.0,6.123233995736766e-17
90004,2020,5661087,5833.0,0,7635,0.2716666666666666,0.27812415,1,,58844.0,62655.0,3804717.5,1.2246467991473532e-16,-1.0
90004,2021,6329156,6129.0,0,933834,0.3233333333333333,0.27812415,1,,58844.0,62655.0,4423507.333333333,-1.0,-1.8369701987210294e-16
90005,2018,1217110,1176.07,0,7124,0.25,0.27286047,1,1.062,38747.0,52755.0,0.0,0.0,1.0
90005,2019,1377870,1463.67,0,0,0.205,0.27286047,1,1.056,38747.0,52755.0,1217110.0,1.0,6.123233995736766e-17
90005,2020,2002362,3005.0,0,1383,0.2533333333333333,0.27286047,1,,38747.0,52755.0,1297490.0,1.2246467991473532e-16,-1.0
90005,2021,2256171,3388.0,0,775274,0.3016666666666667,0.27286047,1,,38747.0,52755.0,1532447.3333333333,-1.0,-1.8369701987210294e-16
90006,2018,1141178,1805.36,0,39217,0.237,0.26483577,1,1.06,55192.0,49847.0,0.0,0.0,1.0
90006,2019,1239538,2011.56,272407,39489,0.1689999999999999,0.26483577,1,1.046,55192.0,49847.0,1141178.0,1.0,6.123233995736766e-17
90006,2020,1656414,3290.0,0,679064,0.245,0.26483577,1,,55192.0,49847.0,1190358.0,1.2246467991473532e-16,-1.0
90006,2021,1873273,3459.0,0,661572,0.2783333333333333,0.26483577,1,,55192.0,49847.0,1345710.0,-1.0,-1.8369701987210294e-16
90007,2018,1016104,1847.16,0,230715,0.078,0.26712942,1,1.248,39253.0,36032.0,0.0,0.0,1.0
90007,2019,1110844,2260.6400000000003,0,351487,0.058,0.26712942,1,1.24,39253.0,36032.0,1016104.0,1.0,6.123233995736766e-17
90007,2020,1583800,3602.0,0,2160,0.285,0.26712942,1,,39253.0,36032.0,1063474.0,1.2246467991473532e-16,-1.0
90007,2021,1772890,4166.0,0,359991,0.2799999999999999,0.26712942,1,,39253.0,36032.0,1236916.0,-1.0,-1.8369701987210294e-16
90008,2018,2095231,2089.34,0,148880,0.1875,0.28178996,1,1.1208333333333331,33443.0,61822.0,0.0,0.0,1.0
90008,2019,2423996,2286.52,0,500,0.1633333333333333,0.28178996,1,1.0983333333333334,33443.0,61822.0,2095231.0,1.0,6.123233995736766e-17
90008,2020,3761247,3948.0,0,1038472,0.285,0.28178996,1,,33443.0,61822.0,2259613.5,1.2246467991473532e-16,-1.0
90008,2021,4056489,4065.0,28750,401016,0.3233333333333333,0.28178996,1,,33443.0,61822.0,2760158.0,-1.0,-1.8369701987210294e-16
90010,2018,114611,293.22,0,0,0.2933333333333334,0.27204478,1,1.0416666666666667,4478.0,100901.0,0.0,0.0,1.0
90010,2019,124382,407.54,0,0,0.2083333333333333,0.27204478,1,1.0133333333333334,4478.0,100901.0,114611.0,1.0,6.123233995736766e-17
90010,2020,240581,847.0,0,0,0.25,0.27204478,1,,4478.0,100901.0,119496.5,1.2246467991473532e-16,-1.0
90010,2021,284969,1024.0,0,0,0.37,0.27204478,1,,4478.0,100901.0,159858.0,-1.0,-1.8369701987210294e-16
90011,2018,3455266,7606.41,3019,318086,0.524,0.38059825,1,1.272,102784.0,53781.0,0.0,0.0,1.0
90011,2019,3706195,7821.76,0,843991,0.512,0.38059825,1,1.256,102784.0,53781.0,3455266.0,1.0,6.123233995736766e-17
90011,2020,4583465,9146.0,0,634888,0.3666666666666667,0.38059825,1,,102784.0,53781.0,3580730.5,1.2246467991473532e-16,-1.0
90011,2021,5028225,9218.0,70000,1573864,0.34,0.38059825,1,,102784.0,53781.0,3914975.3333333335,-1.0,-1.8369701987210294e-16
90012,2018,468172,1329.3000000000002,0,0,0.64,0.51718926,1,1.0550000000000002,37463.0,67635.0,0.0,0.0,1.0
90012,2019,553848,1787.15,0,0,0.626,0.51718926,1,1.042,37463.0,67635.0,468172.0,1.0,6.123233995736766e-17
90012,2020,1010273,3708.0,0,0,0.5533333333333333,0.51718926,1,,37463.0,67635.0,511010.0,1.2246467991473532e-16,-1.0
90012,2021,1167297,4041.0,0,9650,0.6,0.51718926,1,,37463.0,67635.0,677431.0,-1.0,-1.8369701987210294e-16
90013,2018,168550,593.23,0,0,0.3825,0.2580107,1,1.2825,14891.0,32848.0,0.0,0.0,1.0
90013,2019,215806,722.8,0,0,0.31,0.2580107,1,1.21375,14891.0,32848.0,168550.0,1.0,6.123233995736766e-17
90013,2020,483389,1712.0,0,0,0.1916666666666666,0.2580107,1,,14891.0,32848.0,192178.0,1.2246467991473532e-16,-1.0
90013,2021,619441,2042.0,0,0,0.43,0.2580107,1,,14891.0,32848.0,289248.3333333333,-1.0,-1.8369701987210294e-16
90014,2018,105849,498.72,0,0,0.24125,0.21842498,1,1.07875,9540.0,33822.0,0.0,0.0,1.0
90014,2019,163779,798.28,0,0,0.1825,0.21842498,1,1.0525,9540.0,33822.0,105849.0,1.0,6.123233995736766e-17
90014,2020,354114,1631.0,0,0,0.1483333333333333,0.21842498,1,,9540.0,33822.0,134814.0,1.2246467991473532e-16,-1.0
90014,2021,395720,1715.0,0,0,0.2716666666666666,0.21842498,1,,9540.0,33822.0,207914.0,-1.0,-1.8369701987210294e-16
90015,2018,565551,1387.94,0,0,0.2219999999999999,0.26373386,1,1.075,25257.0,63211.0,0.0,0.0,1.0
90015,2019,742030,2084.1,0,0,0.192,0.26373386,1,1.042,25257.0,63211.0,565551.0,1.0,6.123233995736766e-17
90015,2020,1396559,4617.0,0,0,0.2416666666666667,0.26373386,1,,25257.0,63211.0,653790.5,1.2246467991473532e-16,-1.0
90015,2021,1585960,4979.0,0,12489,0.3116666666666667,0.26373386,1,,25257.0,63211.0,901380.0,-1.0,-1.8369701987210294e-16
90016,2018,2668972,3970.67,0,105837,0.147,0.26508588,1,1.078,46102.0,71067.0,0.0,0.0,1.0
90016,2019,2940982,4236.44,0,271192,0.124,0.26508588,1,1.068,46102.0,71067.0,2668972.0,1.0,6.123233995736766e-17
90016,2020,4215646,6365.0,17056,562616,0.2633333333333333,0.26508588,1,,46102.0,71067.0,2804977.0,1.2246467991473532e-16,-1.0
90016,2021,4611492,6589.0,77499,0,0.2916666666666667,0.26508588,1,,46102.0,71067.0,3275200.0,-1.0,-1.8369701987210294e-16
90017,2018,261703,1045.31,0,2345,0.209,0.23026574,1,1.052,28981.0,51317.0,0.0,0.0,1.0
90017,2019,340863,1586.83,0,0,0.121,0.23026574,1,1.007,28981.0,51317.0,261703.0,1.0,6.123233995736766e-17
90017,2020,646922,3037.0,0,0,0.1866666666666666,0.23026574,1,,28981.0,51317.0,301283.0,1.2246467991473532e-16,-1.0
90017,2021,778139,3408.0,0,6224,0.2516666666666666,0.23026574,1,,28981.0,51317.0,416496.0,-1.0,-1.8369701987210294e-16
90018,2018,2569450,3851.81,414306,715347,0.174,0.27685624,1,1.05,48812.0,63671.0,0.0,0.0,1.0
90018,2019,2797797,4045.94,0,362396,0.114,0.27685624,1,1.042,48812.0,63671.0,2569450.0,1.0,6.123233995736766e-17
90018,2020,3892378,5669.0,3952,1247023,0.285,0.27685624,1,,48812.0,63671.0,2683623.5,1.2246467991473532e-16,-1.0
90018,2021,4236611,5792.0,1666,777874,0.2933333333333333,0.27685624,1,,48812.0,63671.0,3086541.6666666665,-1.0,-1.8369701987210294e-16
90019,2018,4022867,4337.65,0,329003,0.2389999999999999,0.37012365,1,1.082,59288.0,71395.0,0.0,0.0,1.0
90019,2019,4439519,4699.43,0,326903,0.191,0.37012365,1,1.061,59288.0,71395.0,4022867.0,1.0,6.123233995736766e-17
90019,2020,6430645,7626.0,0,721581,0.435,0.37012365,1,,59288.0,71395.0,4231193.0,1.2246467991473532e-16,-1.0
90019,2021,7065453,7825.0,0,717000,0.48,0.37012365,1,,59288.0,71395.0,4964343.666666667,-1.0,-1.8369701987210294e-16
90020,2018,1574655,1015.23,0,0,0.301,0.3100823,1,1.08,38361.0,55832.0,0.0,0.0,1.0
90020,2019,1693825,1317.59,0,0,0.247,0.3100823,1,1.066,38361.0,55832.0,1574655.0,1.0,6.123233995736766e-17
90020,2020,2521961,3240.0,0,11276,0.3116666666666667,0.3100823,1,,38361.0,55832.0,1634240.0,1.2246467991473532e-16,-1.0
90020,2021,2849606,3488.0,0,9485,0.365,0.3100823,1,,38361.0,55832.0,1930147.0,-1.0,-1.8369701987210294e-16
90021,2018,42485,83.41,0,0,0.267,0.2589671,1,1.1030000000000002,3152.0,32250.0,0.0,0.0,1.0
90021,2019,44268,91.65,0,0,0.1989999999999999,0.2589671,1,1.044,3152.0,32250.0,42485.0,1.0,6.123233995736766e-17
90021,2020,107876,270.0,0,0,0.2266666666666666,0.2589671,1,,3152.0,32250.0,43376.5,1.2246467991473532e-16,-1.0
90021,2021,145788,404.0,0,0,0.2916666666666667,0.2589671,1,,3152.0,32250.0,64876.333333333336,-1.0,-1.8369701987210294e-16
90022,2018,1960487,5227.06,0,49271,0.076,0.32933214,1,2.636,61638.0,67829.0,0.0,0.0,1.0
90022,2019,2153573,5516.98,0,336615,0.09,0.32933214,1,2.166,61638.0,67829.0,1960487.0,1.0,6.123233995736766e-17
90022,2020,2928251,7114.0,0,421988,0.3966666666666666,0.32933214,1,,61638.0,67829.0,2057030.0,1.2246467991473532e-16,-1.0
90022,2021,3239625,7201.0,0,441800,0.395,0.32933214,1,,61638.0,67829.0,2347437.0,-1.0,-1.8369701987210294e-16
90023,2018,1288237,3536.28,0,333279,0.1149999999999999,0.3263653,1,1.6375,44608.0,56623.0,0.0,0.0,1.0
90023,2019,1394194,3678.95,0,323948,0.1225,0.3263653,1,1.4325,44608.0,56623.0,1288237.0,1.0,6.123233995736766e-17
90023,2020,1810473,4558.0,0,496737,0.3816666666666666,0.3263653,1,,44608.0,56623.0,1341215.5,1.2246467991473532e-16,-1.0
90023,2021,1980048,4578.0,0,320357,0.2199999999999999,0.3263653,1,,44608.0,56623.0,1497634.6666666667,-1.0,-1.8369701987210294e-16
90024,2018,5403071,2654.67,0,28948,0.404,0.3594941,1,1.132,50830.0,79994.0,0.0,0.0,1.0
90024,2019,5629259,3109.01,0,7217,0.363,0.3594941,1,1.097,50830.0,79994.0,5403071.0,1.0,6.123233995736766e-17
90024,2020,8435049,6787.0,0,239238,0.37,0.3594941,1,,50830.0,79994.0,5516165.0,1.2246467991473532e-16,-1.0
90024,2021,9522368,7303.0,0,0,0.4599999999999999,0.3594941,1,,50830.0,79994.0,6489126.333333333,-1.0,-1.8369701987210294e-16
90025,2018,2043813,3028.87,0,0,0.209,0.29730472,1,1.068,45238.0,104627.0,0.0,0.0,1.0
90025,2019,2337888,3624.67,0,0,0.184,0.29730472,1,1.06,45238.0,104627.0,2043813.0,1.0,6.123233995736766e-17
90025,2020,4248126,8163.0,0,186738,0.31,0.29730472,1,,45238.0,104627.0,2190850.5,1.2246467991473532e-16,-1.0
90025,2021,4757834,8755.0,0,277393,0.3766666666666666,0.29730472,1,,45238.0,104627.0,2876609.0,-1.0,-1.8369701987210294e-16
90026,2018,3653361,5243.41,0,100640,0.2658333333333333,0.30952922,1,1.04,62902.0,85835.0,0.0,0.0,1.0
90026,2019,4006422,5720.74,0,698481,0.277,0.30952922,1,1.041,62902.0,85835.0,3653361.0,1.0,6.123233995736766e-17
90026,2020,5988596,9296.0,0,492923,0.31,0.30952922,1,,62902.0,85835.0,3829891.5,1.2246467991473532e-16,-1.0
90026,2021,6638904,9594.0,0,51479,0.3733333333333333,0.30952922,1,,62902.0,85835.0,4549459.666666667,-1.0,-1.8369701987210294e-16
90027,2018,4237354,3324.52,0,10935,0.3808333333333333,0.44998616,1,1.1158333333333337,46049.0,90532.0,0.0,0.0,1.0
90027,2019,4743082,3670.95,0,285600,0.3583333333333334,0.44998616,1,1.0466666666666666,46049.0,90532.0,4237354.0,1.0,6.123233995736766e-17
90027,2020,7468566,7109.0,196593,128471,0.5233333333333333,0.44998616,1,,46049.0,90532.0,4490218.0,1.2246467991473532e-16,-1.0
90027,2021,8520369,7469.0,0,72064,0.62,0.44998616,1,,46049.0,90532.0,5483000.666666667,-1.0,-1.8369701987210294e-16
90028,2018,589020,1629.85,0,4257,0.277,0.29922813,1,1.08,31441.0,59393.0,0.0,0.0,1.0
90028,2019,742913,2231.57,0,248150,0.224,0.29922813,1,1.066,31441.0,59393.0,589020.0,1.0,6.123233995736766e-17
90028,2020,1210572,4293.0,0,765854,0.2983333333333333,0.29922813,1,,31441.0,59393.0,665966.5,1.2246467991473532e-16,-1.0
90028,2021,1414087,4833.0,0,0,0.34,0.29922813,1,,31441.0,59393.0,847501.6666666666,-1.0,-1.8369701987210294e-16
90029,2018,888256,1582.6,0,1430823,0.192,0.2821116,1,1.042,33830.0,60793.0,0.0,0.0,1.0
90029,2019,985909,1754.43,0,418468,0.135,0.2821116,1,1.036,33830.0,60793.0,888256.0,1.0,6.123233995736766e-17
90029,2020,1470989,3055.0,0,35131,0.29,0.2821116,1,,33830.0,60793.0,937082.5,1.2246467991473532e-16,-1.0
90029,2021,1630424,3188.0,0,335000,0.3683333333333333,0.2821116,1,,33830.0,60793.0,1115051.3333333333,-1.0,-1.8369701987210294e-16
90031,2018,1386272,2818.76,0,0,0.621,0.53459096,1,1.039,36881.0,62119.0,0.0,0.0,1.0
90031,2019,1561730,2969.85,0,2922,0.612,0.53459096,1,1.036,36881.0,62119.0,1386272.0,1.0,6.123233995736766e-17
90031,2020,2358981,4395.0,381866,26459,0.5833333333333334,0.53459096,1,,36881.0,62119.0,1474001.0,1.2246467991473532e-16,-1.0
90031,2021,2694989,4502.0,0,122148,0.5883333333333334,0.53459096,1,,36881.0,62119.0,1768994.3333333333,-1.0,-1.8369701987210294e-16
90032,2018,1864939,3621.64,0,446844,0.482,0.45008948,1,1.098,43724.0,81563.0,0.0,0.0,1.0
90032,2019,2151517,3860.31,0,227292,0.4439999999999999,0.45008948,1,1.0870000000000002,43724.0,81563.0,1864939.0,1.0,6.123233995736766e-17
90032,2020,3364356,5988.0,12250,40475,0.4983333333333333,0.45008948,1,,43724.0,81563.0,2008228.0,1.2246467991473532e-16,-1.0
90032,2021,3722228,6060.0,152308,34042,0.52,0.45008948,1,,43724.0,81563.0,2460270.6666666665,-1.0,-1.8369701987210294e-16
90033,2018,1126869,2579.18,0,113845,0.15,0.32776535,1,1.05,46540.0,56001.0,0.0,0.0,1.0
90033,2019,1232310,2686.04,0,192148,0.1075,0.32776535,1,1.0525,46540.0,56001.0,1126869.0,1.0,6.123233995736766e-17
90033,2020,1661908,3668.0,0,635794,0.3833333333333333,0.32776535,1,,46540.0,56001.0,1179589.5,1.2246467991473532e-16,-1.0
90033,2021,1803531,3683.0,0,503388,0.32,0.32776535,1,,46540.0,56001.0,1340362.3333333333,-1.0,-1.8369701987210294e-16
90034,2018,2731474,3718.16,24831,451,0.208,0.275293,1,1.048,55120.0,103082.0,0.0,0.0,1.0
90034,2019,3077001,4194.52,0,0,0.192,0.275293,1,1.041,55120.0,103082.0,2731474.0,1.0,6.123233995736766e-17
90034,2020,4583528,7614.0,0,52135,0.2666666666666666,0.275293,1,,55120.0,103082.0,2904237.5,1.2246467991473532e-16,-1.0
90034,2021,5092690,8004.0,0,117583,0.2966666666666667,0.275293,1,,55120.0,103082.0,3464001.0,-1.0,-1.8369701987210294e-16
90035,2018,2959727,2691.4,0,0,0.248,0.2861808,1,1.09,27851.0,108224.0,0.0,0.0,1.0
90035,2019,3293519,2894.5,0,0,0.216,0.2861808,1,1.068,27851.0,108224.0,2959727.0,1.0,6.123233995736766e-17
90035,2020,4966196,5116.0,0,88590,0.2799999999999999,0.2861808,1,,27851.0,108224.0,3126623.0,1.2246467991473532e-16,-1.0
90035,2021,5526485,5406.0,0,163280,0.3316666666666666,0.2861808,1,,27851.0,108224.0,3739814.0,-1.0,-1.8369701987210294e-16
90036,2018,3560659,3005.04,0,0,0.259,0.27883232,1,1.065,38784.0,102877.0,0.0,0.0,1.0
90036,2019,3965310,3554.3,0,580301,0.21,0.27883232,1,1.0530000000000002,38784.0,102877.0,3560659.0,1.0,6.123233995736766e-17
90036,2020,5553713,6886.0,0,0,0.265,0.27883232,1,,38784.0,102877.0,3762984.5,1.2246467991473532e-16,-1.0
90036,2021,6102320,7145.0,0,228241,0.3183333333333333,0.27883232,1,,38784.0,102877.0,4359894.0,-1.0,-1.8369701987210294e-16
90037,2018,2374463,4512.65,99532,522521,0.2233333333333333,0.29097843,1,1.0416666666666667,67895.0,56417.0,0.0,0.0,1.0
90037,2019,2574428,4706.49,51000,590281,0.164,0.29097843,1,1.06,67895.0,56417.0,2374463.0,1.0,6.123233995736766e-17
90037,2020,3204820,5761.0,0,679390,0.2983333333333333,0.29097843,1,,67895.0,56417.0,2474445.5,1.2246467991473532e-16,-1.0
90037,2021,3475387,5772.0,30564,989884,0.3333333333333333,0.29097843,1,,67895.0,56417.0,2717903.6666666665,-1.0,-1.8369701987210294e-16
90038,2018,761367,1345.64,0,0,0.266,0.2755617,1,1.082,27807.0,61566.0,0.0,0.0,1.0
90038,2019,850523,1590.49,0,457956,0.211,0.2755617,1,1.072,27807.0,61566.0,761367.0,1.0,6.123233995736766e-17
90038,2020,1336633,3059.0,0,131364,0.2566666666666666,0.2755617,1,,27807.0,61566.0,805945.0,1.2246467991473532e-16,-1.0
90038,2021,1549960,3529.0,0,252671,0.3016666666666666,0.2755617,1,,27807.0,61566.0,982841.0,-1.0,-1.8369701987210294e-16
90039,2018,2757886,3514.32,0,405781,0.317,0.33618551,1,1.054,28572.0,105578.0,0.0,0.0,1.0
90039,2019,3122479,3768.28,0,219691,0.284,0.33618551,1,1.046,28572.0,105578.0,2757886.0,1.0,6.123233995736766e-17
90039,2020,4746439,6029.0,0,280582,0.3533333333333333,0.33618551,1,,28572.0,105578.0,2940182.5,1.2246467991473532e-16,-1.0
90039,2021,5314646,6209.0,0,706319,0.4333333333333333,0.33618551,1,,28572.0,105578.0,3542268.0,-1.0,-1.8369701987210294e-16
90040,2018,411081,981.68,0,234864,0.1659999999999999,0.30273882,1,2.576,11683.0,70909.0,0.0,0.0,1.0
90040,2019,471176,1033.8,0,0,0.154,0.30273882,1,1.972,11683.0,70909.0,411081.0,1.0,6.123233995736766e-17
90040,2020,694820,1465.0,8413,278242,0.33,0.30273882,1,,11683.0,70909.0,441128.5,1.2246467991473532e-16,-1.0
90040,2021,749637,1506.0,0,45225,0.3516666666666666,0.30273882,1,,11683.0,70909.0,525692.3333333334,-1.0,-1.8369701987210294e-16
90041,2018,2103866,2621.73,0,0,0.546,0.4834514,1,1.056,27351.0,111834.0,0.0,0.0,1.0
90041,2019,2403401,2800.74,6968,1042,0.485,0.4834514,1,1.048,27351.0,111834.0,2103866.0,1.0,6.123233995736766e-17
90041,2020,3820982,4567.0,27210,183744,0.5383333333333333,0.4834514,1,,27351.0,111834.0,2253633.5,1.2246467991473532e-16,-1.0
90041,2021,4277275,4654.0,0,374575,0.615,0.4834514,1,,27351.0,111834.0,2776083.0,-1.0,-1.8369701987210294e-16
90042,2018,3192488,5232.03,0,318367,1.1183333333333334,0.87025005,1,1.0716666666666663,58344.0,94401.0,0.0,0.0,1.0
90042,2019,3570573,5570.57,0,332351,1.0833333333333333,0.87025005,1,1.0358333333333334,58344.0,94401.0,3192488.0,1.0,6.123233995736766e-17
90042,2020,5590001,9098.0,18370,744856,0.9066666666666666,0.87025005,1,,58344.0,94401.0,3381530.5,1.2246467991473532e-16,-1.0
90042,2021,6263387,9271.0,2452,140678,0.9816666666666668,0.87025005,1,,58344.0,94401.0,4117687.3333333335,-1.0,-1.8369701987210294e-16
90043,2018,3546789,4673.54,0,310606,0.185,0.28569806,1,1.318,43548.0,65496.0,0.0,0.0,1.0
90043,2019,4064754,5002.54,80000,734949,0.1679999999999999,0.28569806,1,1.224,43548.0,65496.0,3546789.0,1.0,6.123233995736766e-17
90043,2020,5614668,7004.0,241721,1282954,0.2916666666666667,0.28569806,1,,43548.0,65496.0,3805771.5,1.2246467991473532e-16,-1.0
90043,2021,6084566,7047.0,0,1935518,0.32,0.28569806,1,,43548.0,65496.0,4408737.0,-1.0,-1.8369701987210294e-16
90044,2018,3822030,7779.24,0,515396,0.243,0.37955585,1,1.457,95859.0,51433.0,0.0,0.0,1.0
90044,2019,4210931,8145.240000000001,0,1014760,0.116,0.37955585,1,1.414,95859.0,51433.0,3822030.0,1.0,6.123233995736766e-17
90044,2020,5541798,10334.0,0,1587634,0.4633333333333334,0.37955585,1,,95859.0,51433.0,4016480.5,1.2246467991473532e-16,-1.0
90044,2021,6091511,10387.0,0,1779626,0.475,0.37955585,1,,95859.0,51433.0,4524919.666666667,-1.0,-1.8369701987210294e-16
90045,2018,3065397,3726.2,0,138811,0.193,0.29249802,1,1.07,42352.0,132577.0,0.0,0.0,1.0
90045,2019,3477982,4108.13,0,12998,0.156,0.29249802,1,1.06,42352.0,132577.0,3065397.0,1.0,6.123233995736766e-17
