ZIP,Year,earned_premium,earned_exposure,cat_fire_losses,noncat_fire_losses,CAT Cov A Smoke -  Incurred Losses,Non-CAT Cov A Smoke -  Incurred Losses,avg_fire_risk_score,avg_ppc,total_population,median_income,year_norm,year_sin,year_cos,premium_rolling_mean
90001,2018,2065285,5274.599999999999,0,421149,0,0,0.16599999999999998,2.33,56403.0,60751.0,0,0.0,1.0,0.0
90001,2019,2187887,5433.93,0,608952,0,0,0.142,1.9260000000000002,56403.0,60751.0,1,1.0,6.123233995736766e-17,2065285.0
90001,2020,2680783,6345.0,6005,507264,266594,14917,0.22,,56403.0,60751.0,2,1.2246467991473532e-16,-1.0,2126586.0
90001,2021,2920091,6350.0,211321,199658,0,37420,0.22666666666666666,,56403.0,60751.0,3,-1.0,-1.8369701987210297e-16,2311318.3333333335
90002,2018,1960435,4541.22,17323,1150118,0,0,0.2075,1.545,52735.0,56158.0,0,0.0,1.0,0.0
90002,2019,2125985,4681.79,100000,157309,0,34514,0.1825,1.3975,52735.0,56158.0,1,1.0,6.123233995736766e-17,1960435.0
90002,2020,2767262,5847.0,12945,190016,83441,1686,0.395,,52735.0,56158.0,2,1.2246467991473532e-16,-1.0,2043210.0
90002,2021,2997307,5881.0,0,562385,0,0,0.40166666666666667,,52735.0,56158.0,3,-1.0,-1.8369701987210297e-16,2284560.6666666665
90003,2018,2681068,5949.14,0,310001,0,0,0.27999999999999997,1.0916666666666668,71708.0,54781.0,0,0.0,1.0,0.0
90003,2019,2939092,6161.0599999999995,0,349070,0,0,0.10800000000000001,1.052,71708.0,54781.0,1,1.0,6.123233995736766e-17,2681068.0
90003,2020,3807422,7548.0,7600,785133,127797,0,0.38000000000000006,,71708.0,54781.0,2,1.2246467991473532e-16,-1.0,2810080.0
90003,2021,4112042,7574.0,130969,641914,10800,41635,0.385,,71708.0,54781.0,3,-1.0,-1.8369701987210297e-16,3142527.3333333335
90004,2018,3613045,3008.74,0,36517,0,0,0.22000000000000003,1.059,58844.0,62655.0,0,0.0,1.0,0.0
90004,2019,3996390,3294.22,0,359063,0,0,0.178,1.049,58844.0,62655.0,1,1.0,6.123233995736766e-17,3613045.0
90004,2020,5661087,5833.0,0,7635,5186,8466,0.27166666666666667,,58844.0,62655.0,2,1.2246467991473532e-16,-1.0,3804717.5
90004,2021,6329156,6129.0,0,933834,0,0,0.32333333333333336,,58844.0,62655.0,3,-1.0,-1.8369701987210297e-16,4423507.333333333
90005,2018,1217110,1176.07,0,7124,0,0,0.25,1.062,38747.0,52755.0,0,0.0,1.0,0.0
90005,2019,1377870,1463.67,0,0,0,0,0.205,1.056,38747.0,52755.0,1,1.0,6.123233995736766e-17,1217110.0
90005,2020,2002362,3005.0,0,1383,0,0,0.25333333333333335,,38747.0,52755.0,2,1.2246467991473532e-16,-1.0,1297490.0
90005,2021,2256171,3388.0,0,775274,0,0,0.3016666666666667,,38747.0,52755.0,3,-1.0,-1.8369701987210297e-16,1532447.3333333333
90006,2018,1141178,1805.3600000000001,0,39217,0,0,0.23700000000000002,1.06,55192.0,49847.0,0,0.0,1.0,0.0
90006,2019,1239538,2011.56,272407,39489,0,0,0.16899999999999998,1.046,55192.0,49847.0,1,1.0,6.123233995736766e-17,1141178.0
90006,2020,1656414,3290.0,0,679064,0,0,0.245,,55192.0,49847.0,2,1.2246467991473532e-16,-1.0,1190358.0
90006,2021,1873273,3459.0,0,661572,0,0,0.2783333333333333,,55192.0,49847.0,3,-1.0,-1.8369701987210297e-16,1345710.0
90007,2018,1016104,1847.1599999999999,0,230715,0,0,0.078,1.248,39253.0,36032.0,0,0.0,1.0,0.0
90007,2019,1110844,2260.6400000000003,0,351487,0,0,0.05800000000000001,1.24,39253.0,36032.0,1,1.0,6.123233995736766e-17,1016104.0
90007,2020,1583800,3602.0,0,2160,5392,0,0.285,,39253.0,36032.0,2,1.2246467991473532e-16,-1.0,1063474.0
90007,2021,1772890,4166.0,0,359991,0,0,0.27999999999999997,,39253.0,36032.0,3,-1.0,-1.8369701987210297e-16,1236916.0
90008,2018,2095231,2089.34,0,148880,0,0,0.1875,1.1208333333333333,33443.0,61822.0,0,0.0,1.0,0.0
90008,2019,2423996,2286.52,0,500,0,0,0.16333333333333333,1.0983333333333334,33443.0,61822.0,1,1.0,6.123233995736766e-17,2095231.0
90008,2020,3761247,3948.0,0,1038472,0,0,0.285,,33443.0,61822.0,2,1.2246467991473532e-16,-1.0,2259613.5
90008,2021,4056489,4065.0,28750,401016,0,4863,0.3233333333333333,,33443.0,61822.0,3,-1.0,-1.8369701987210297e-16,2760158.0
90010,2018,114611,293.21999999999997,0,0,0,0,0.2933333333333334,1.0416666666666667,4478.0,100901.0,0,0.0,1.0,0.0
90010,2019,124382,407.53999999999996,0,0,0,0,0.20833333333333334,1.0133333333333334,4478.0,100901.0,1,1.0,6.123233995736766e-17,114611.0
90010,2020,240581,847.0,0,0,0,0,0.25,,4478.0,100901.0,2,1.2246467991473532e-16,-1.0,119496.5
90010,2021,284969,1024.0,0,0,0,0,0.37000000000000005,,4478.0,100901.0,3,-1.0,-1.8369701987210297e-16,159858.0
90011,2018,3455266,7606.41,3019,318086,0,0,0.524,1.272,102784.0,53781.0,0,0.0,1.0,0.0
90011,2019,3706195,7821.76,0,843991,0,0,0.512,1.256,102784.0,53781.0,1,1.0,6.123233995736766e-17,3455266.0
90011,2020,4583465,9146.0,0,634888,165460,0,0.3666666666666667,,102784.0,53781.0,2,1.2246467991473532e-16,-1.0,3580730.5
90011,2021,5028225,9218.0,70000,1573864,13599,23110,0.34,,102784.0,53781.0,3,-1.0,-1.8369701987210297e-16,3914975.3333333335
90012,2018,468172,1329.3000000000002,0,0,0,0,0.64,1.0550000000000002,37463.0,67635.0,0,0.0,1.0,0.0
90012,2019,553848,1787.15,0,0,0,0,0.626,1.042,37463.0,67635.0,1,1.0,6.123233995736766e-17,468172.0
90012,2020,1010273,3708.0,0,0,0,0,0.5533333333333333,,37463.0,67635.0,2,1.2246467991473532e-16,-1.0,511010.0
90012,2021,1167297,4041.0,0,9650,0,0,0.6,,37463.0,67635.0,3,-1.0,-1.8369701987210297e-16,677431.0
90013,2018,168550,593.23,0,0,0,0,0.3825,1.2825,14891.0,32848.0,0,0.0,1.0,0.0
90013,2019,215806,722.8,0,0,0,0,0.31,1.21375,14891.0,32848.0,1,1.0,6.123233995736766e-17,168550.0
90013,2020,483389,1712.0,0,0,0,0,0.19166666666666665,,14891.0,32848.0,2,1.2246467991473532e-16,-1.0,192178.0
90013,2021,619441,2042.0,0,0,0,0,0.43,,14891.0,32848.0,3,-1.0,-1.8369701987210297e-16,289248.3333333333
90014,2018,105849,498.71999999999997,0,0,0,0,0.24125,1.07875,9540.0,33822.0,0,0.0,1.0,0.0
